frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"1522","323.211470972",,,,"208.67.220.220","10.0.3.15",,,,,"53","58249","257",,,,0
"1523","323.211953243",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"76",,,,0
"1524","323.238658790",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1525","323.238726213",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1526","323.239700333",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"573",,,,0
"1527","323.239871878",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1528","323.269504110",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"2976",,,,0
"1529","323.269568829",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1530","323.269681123",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1516",,,,0
"1531","323.269696404",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1532","323.269773170",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1232",,,,0
"1533","323.269784245",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1534","323.293738328",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1769",,,,0
"1535","323.293783279",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1536","323.296953029",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"136",,,,0
"1537","323.297200409",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1538","323.297384622",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"226",,,,0
"1539","323.297404560",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"758",,,,0
"1540","323.297503986",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1541","323.297504437",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1542","323.321866170",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"690",,,,0
"1543","323.322429785",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"87",,,,0
"1544","323.322674973",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1545","323.331198935",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"10276",,,,0
"1546","323.331544731",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1547","323.331728604",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"2598",,,,0
"1548","323.332387740",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1549","323.332630113",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"2976",,,,0
"1550","323.332650972",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1551","323.334485905",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"855",,,,0
"1552","323.375699844",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1553","323.460095979",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"186",,,,0
"1554","323.460353683",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1555","323.480502783",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"212",,,,0
"1556","323.480888433",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1557","323.492473988",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"7002",,,,0
"1558","323.492538136",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1559","323.494976159",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"4726",,,,0
"1560","323.495029522",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
